"","chapter","word","n"
"789",37,"pounds",4
"790",37,"saturday",4
"791",37,"thousand",4
"792",37,"world",4
"793",1,"domestic",3
"794",1,"forster",3
"795",1,"head",3
"796",1,"hours",3
"797",1,"institution",3
"798",1,"james",3
"799",1,"london",3
"800",2,"eleven",3
"801",2,"found",3
"802",2,"gentleman",3
"803",2,"half",3
"804",2,"minutes",3
"805",2,"phileas",3
"806",2,"servant",3
"807",2,"service",3
"808",3,"_daily",3
"809",3,"added",3
"810",3,"contrary",3
"811",3,"england",3
"812",3,"fellow",3
"813",3,"game",3
"814",3,"gentlemen",3
"815",3,"grown",3
"816",3,"hour",3
"817",3,"journey",3
"818",3,"left",3
"819",3,"minutes",3
"820",3,"passed",3
"821",3,"play",3
"822",3,"quarter",3
"823",3,"robber",3
"824",3,"robbery",3
"825",3,"round",3
"826",3,"suez",3
"827",3,"table",3
"828",3,"thomas",3
"829",3,"times",3
"830",3,"trains",3
"831",3,"york",3
"832",4,"called",3
"833",4,"days",3
"834",4,"eighty",3
"835",4,"eyes",3
"836",4,"paris",3
"837",4,"round",3
"838",4,"train",3
"839",4,"world",3
"840",5,"_daily",3
"841",5,"appeared",3
"842",5,"article",3
"843",5,"bet",3
"844",5,"days",3
"845",5,"hundred",3
"846",5,"london",3
"847",5,"robber",3
"848",6,"boats",3
"849",6,"bombay",3
"850",6,"crowd",3
"851",6,"detective",3
"852",6,"directly",3
"853",6,"don’t",3
"854",6,"half",3
"855",6,"india",3
"856",6,"left",3
"857",6,"london",3
"858",6,"porters",3
"859",6,"quay",3
"860",6,"route",3
"861",6,"ten",3
"862",6,"thousand",3
"863",6,"town",3
"864",7,"friday",3
"865",7,"left",3
"866",7,"mongolia",3
"867",7,"p.m",3
"868",7,"paris",3
"869",7,"passepartout",3
"870",7,"quay",3
"871",7,"reached",3
"872",7,"replied",3
"873",7,"sir",3
"874",8,"africa",3
"875",8,"burner",3
"876",8,"days",3
"877",8,"detective",3
"878",8,"hand",3
"879",8,"left",3
"880",8,"mongolia",3
"881",8,"round",3
"882",8,"steamer",3
"883",8,"sun",3
"884",8,"twenty",3
